0,0
230,0.007
358,0.013
582,0.022
705,0.027
891,0.0323
1090,0.038
1347,0.044
1473,0.046
1714,0.05
2072,0.056
2302,0.06
2540,0.062
2769,0.064
3104,0.0666
3466,0.069
3789,0.071
4119,0.072
4475,0.074
4707,0.075
4988,0.076
5323,0.0768
