0,0
13.65,2.1
20.5,4.5
27.8,8.4
34.6,11.8
41.4,14.4
48.7,17.4
55.5,20.65
62.8,23.2
70.1,25.5
76.5,26.8
83.3,28.8
90.6,29.7
98.3,31.7
106,31.8
111.5,33.5
118.8,33.9
125.6,34.8
131.5,35
139.3,35.6
146.55,36.5
153.8,37.8
160.2,37.2
167.5,37.5
174.8,38
181.1,38.1
189.3,38.3
197.1,38
203,39
210,38.3
217.1,39
223.9,39.1
230.7,39.1
